period,total_value,differenced
2021-08-21,543151,-49046.0
2021-08-22,518546,-24605.0
2021-08-23,597208,78662.0
2021-08-24,631119,33911.0
2021-08-25,670873,39754.0
2021-08-26,706004,35131.0
2021-08-27,710825,4821.0
2021-08-28,674516,-36309.0
2021-08-29,678946,4430.0
2021-08-30,722760,43814.0
2021-08-31,636923,-85837.0
2021-09-01,602007,-34916.0
2021-09-02,601940,-67.0
2021-09-03,609764,7824.0
2021-09-04,593246,-16518.0
2021-09-05,623895,30649.0
2021-09-06,688915,65020.0
2021-09-07,789970,101055.0
2021-09-08,802415,12445.0
2021-09-09,825577,23162.0
2021-09-10,748914,-76663.0
2021-09-11,672813,-76101.0
2021-09-12,659924,-12889.0
2021-09-13,701563,41639.0
2021-09-14,665677,-35886.0
2021-09-15,610515,-55162.0
2021-09-16,598658,-11857.0
